year,name,address,district,region,in,number,contract_date,project,program,requested,approved
2011,"""Ivánska 21""","Ivanská cesta 21,821 04 Bratislava - Podunajské Biskupice",Bratislava II,Bratislava II,30797080,MK-301/2011/4.3.1,,Bytové doplnky z recyklovaného kartónu,4.3.1,5300,0
2011,"""Ivánska 21""","Ivanská cesta 21,821 04 Bratislava - Podunajské Biskupice",Bratislava II,Bratislava II,30797080,MK-259/2011/4.3.3,,Fotografický workshop zameraný na staré fotografické techniky,4.3.3,8550,0
2011,"""K-2000""","Záhradnícka 19,971 01 Prievidza",Prievidza,Prievidza,36120537,MK-4777/2011/8.4,,"NEBUDÚ ZABUDNUTÍ IV. Osobnosti hudby, spevu a tnaca na hornej Nitre",8.4,3150,0
2011,"""K-2000""","Záhradnícka ul. 19,971 01 Prievidza",Prievidza,Prievidza,36120537,MK-4778/2011/7.1,,ZÁZRAČNÝ SVET MAJSTRA KUBA - tvorivé dielne pre deti z detských domovov a centrá sociálnych služieb,7.1,2850,0
2011,"""K-2000""","Záhradnícka ul. 19,971 01 Prievidza",Prievidza,Prievidza,36120537,MK-6332/2011/7.1,27.6.2011,PRO FEMINA - terapia umením,7.1,2850,2000
2011,"""K-2000""","Záhradnícka ul. 19,971 01 Prievidza",Prievidza,Prievidza,36120537,MK-6333/2011/8.2,17.6.2011,ABY NEZANIKLI,8.2,2850,830
2011,"""K-2000""","Záhradnícka 19,971 01 Prievidza",Prievidza,Prievidza,36120537,MK-6334/2011/8.4,,KULTÚRA NA HORNEJ NITRE - monografia,8.4,3800,0
2011,"""Komorný orchester mesta Trenčín""","Ul. kn. Pribinu 3,911 01 Trenčín",Trenčín,Trenčín,36121533,MK-2749/2011/8.3,7.7.2011,KONCERTNÁ ČINNOSŤ KOMORNÉHO ORCHESTRA MESTA TRENČÍN,8.3,2000,1000
2011,"""literarnyklub.sk - občianske združenie","Ludanská 27,934 05 Levice",Levice,Levice,37966901,MK-2366/2011/4.5.6,,Názov projektu: Literárne soirée,4.5.6,12000,0
2011,"""Mestský dom kultúry, príspevková organizácia""","M. R. Štefánika 875/200,093 01 Vranov nad Topľou",Vranov nad Topľou,Vranov nad Topľou,35519088,MK-4928/2011/8.1,,Gospel song 2011,8.1,7300,0
2011,"""Mestský dom kultúry, príspevková organizácia""","M. R. Štefánika 875/200,093 01 Vranov nad Topľou",Vranov nad Topľou,Vranov nad Topľou,35519088,MK-4930/2011/8.1,,Zlatý gaštan 2011,8.1,14480,0
2011,"""Mestský dom kultúry, príspevková organizácia""","M. R. Štefánika 875/200,093 01 Vranov nad Topľou",Vranov nad Topľou,Vranov nad Topľou,35519088,MK-4929/2011/8.1,27.6.2011,42. ročník Hornozemplínskych folklórnych slávností,8.1,11000,1000
2011,"""Občianske združenie Pour Art""","Hlavná 68,900 31 Stupava",Malacky,Malacky,42128455,MK-558/2011/8.4,24.6.2011,ročenka Stupava 2010-2011,8.4,5000,5000
2011,"""Odborové združenie železničiarov"", ZV ŽSR Prevádzkové riaditeľstvo Zvolen","M.R. Štefánika 295/2,960 01 Zvolen",Zvolen,Zvolen,30844371,MK-4474/2011/8.3,8.7.2011,Dni Maríny - 45.výročie FSž Marína,8.3,5220,1500
2011,"""Projekt Fórum"" - občianske združenie","Štefaniková 33,811 05 Bratislava - Staré Mesto",Bratislava I,Bratislava I,30803781,MK-1279/2011/5.3,31.5.2011,Mirrors of Europe 2011- Phase 2 / Európa v zrkadlách 2011- fáza 2,5.3,57270,2500
2011,"""Proti Prúdu""","Karpatská 10,811 05 Bratislava - Staré Mesto",Bratislava I,Bratislava I,36068781,MK-1561/2011/7.2,16.6.2011,NOTA BENE,7.2,26934,10000
2011,"""Proti Prúdu""","Karpatská 10,811 05 Bratislava - Staré Mesto",Bratislava I,Bratislava I,36068781,MK-2190/2011/4.3.2,07.06.2011,Ion Bârlădeanu: príbeh outsidera,4.3.2,23400,2500
2011,"""punkt""","Povraznícka 5,811 05 Bratislava - Staré Mesto",Bratislava I,Bratislava I,42128013,MK-1856/2011/4.3.4,16.06.2011,Local Icon - Interiér,4.3.4,2400,2400
2011,"""Slovenská bluesová spoločnosť""","Michalská 10,815 36 Bratislava - Staré Mesto",Bratislava I,Bratislava I,34017496,MK-761/2011/4.2.1,10.06.2011,Bluesové pondelky u Červeného raka,4.2.1,5700,2000
2011,"""Slovenská bluesová spoločnosť""","Michalská 10,815 36 Bratislava - Staré Mesto",Bratislava I,Bratislava I,34017496,MK-760/2011/4.2.2,13.06.2011,Blues Slovakia 2011,4.2.2,8550,1400
2011,"""Slovenská bluesová spoločnosť""","Michalská 10 ,815 36 Bratislava - Staré Mesto",Bratislava I,Bratislava I,34017496,MK-1787/2011/4.2.4,15.06.2011,CD Bluesová Spoločnosť No7,4.2.4,2000,700
2011,"""Spevácky zbor NITRIA""","Štúrova 16,949 01 Nitra",Nitra,Nitra,34041826,MK-4608/2011/8.3,,15. VÝROČIE SPEVÁCKEHO ZBORU NITRIA,8.3,4060,0
2011,"""UPRE ROMA - KLENOVEC""","Klenovčok 11,980 55 Klenovec",Rimavská Sobota,Rimavská Sobota,42013151,MK-324/2011/7.1,,XX. ročník Rómskeho festivalu „ROMA BAŠAVEL“,7.1,8290,0
2011,"""Združenie Brodnianov""","Brodno 211,010 14 Žilina",Žilina,Žilina,42058031,MK-1273/2011/8.1,,Brodnianske slávnosti 2 ročník,8.1,5700,0
2011,"""Združenie na podporu detského folklórneho súboru Kornička""","Lipová 35,911 05 Trenčín",Trenčín,Trenčín,36118419,MK-2117/2011/8.3,27.6.2011,Krojové vybavenie DFS Kornička,8.3,5643,2000
2011,"""Združenie pre vzdelávanie detí, mládeže a dospelých ""","Nám. Gy. Széchenyiho 8,940 70 Nové Zámky",Nové Zámky,Nové Zámky,37966502,MK-1445/2011/8.2,,KTO ČO VIE ?,8.2,3651,0
2011,"""Združenie pre vzdelávanie detí, mládeže a dospelých ""","Nám. Gy. Széchényiho 8,940 70 Nové Zámky",Nové Zámky,Nové Zámky,37966502,MK-1635/2011/8.1,,Multikultúrne mesto otvára svoje brány pre spoznávanie menšinových a regionálnych kultúr na XVII. festivale detských folklórnych súborov s medzinárodnou účasťou,8.1,3651,0
2011,00526819 Obec Kyjov,"Kyjov 164,06548 Kyjov",Stará Ľubovňa,Stará Ľubovňa,00329975,MK-5099/2011/9.1,17.03.2011,00526819 Obec Kyjov,9.1,0,0
2011,037866923 Obec Sokolce,"Hlavná 63,94617 Sokolce",Komárno,Komárno,00306665,MK-5630/2011/9.1,04.05.2011,037866923 Obec Sokolce,9.1,0,0
2011,0501531 Obec Čiližská Radvaň,"285,93008 Čiližská Radvaň",Dunajská Streda,Dunajská Streda,00305341,MK-6158/2011/9.1,04.05.2011,0501531 Obec Čiližská Radvaň,9.1,0,0
2011,0509230 Obec Cestice,"89,04471 Cestice",Košice - okolie,Košice - okolie,00032404,MK-5534/2011/9.1,04.05.2011,0509230 Obec Cestice,9.1,0,0
2011,0509906 Obec Oravská Lesná,"Oravská Lesná, č.291,02957 Oravská Lesná",Námestovo,Námestovo,00314722,MK-4891/2011/9.1,04.05.2011,0509906 Obec Oravská Lesná,9.1,0,0
2011,0513610 Mesto Púchov,"Štefánikova 821/21,02001 Púchov",Púchov,Púchov,00317748,MK-6153/2011/9.1,18.04.2011,0513610 Mesto Púchov,9.1,0,0
2011,0513938 Obec Čavoj,"86,97229 Čavoj",Prievidza,Prievidza,00318035,MK-5654/2011/9.1,04.05.2011,0513938 Obec Čavoj,9.1,0,0
2011,0517291 obec Tekovská Breznica,"č. 566,96652 Tekovská Breznica",Žarnovica,Žarnovica,00321036,MK-5818/2011/9.1,04.05.2011,0517291 obec Tekovská Breznica,9.1,0,0
2011,0519294 Obec Janovce,"Janovce 62,08641 Janovce",Bardejov,Bardejov,00322083,MK-5994/2011/9.1,04.05.2011,0519294 Obec Janovce,9.1,0,0
2011,1115,"P. Križku 393/10,96701 Kremnica",Žiar nad Hronom,Žiar nad Hronom,42019648,MK-6787/2011/9.2,27.07.2011,1115,9.2,0,1194
2011,13 kubikov,"Istrijská 54,841 07 Bratislava - Devínska Nová Ves",Bratislava IV,Bratislava IV,31809316,MK-2601/2011/4.3.4,16.06.2011,10 rokov Buryzone (cyklus diskusií Umenie pod Mikroskopom 2011 a finalizácia publikácie Veľká kniha Buryzone),4.3.4,11200,6600
2011,13 kubikov,"Istrijská 54,841 07 Bratislava - Devínska Nová Ves",Bratislava IV,Bratislava IV,31809316,MK-6354/2011/4.3.2,07.06.2011,Mária Čorejová: MIND GAMES,4.3.2,3000,1500
2011,13 kubikov,"Istrijská 54,841 07 Bratislava - Devínska Nová Ves",Bratislava IV,Bratislava IV,31809316,MK-6353/2011/4.3.2,07.06.2011,PORTRÉT - vzťah medzi modelom a jeho zobrazením v maľbe (Alena Adamíková),4.3.2,7603,1500
2011,3+M production s.r.o.,"Národná 7,97401 Banská Bystrica",Banská Bystrica,Banská Bystrica,44913435,MK-7166/2011/9.2,,3+M production s.r.o.,9.2,0,0
2011,545333 Obecný úrad Dunajská Lužná,"Jánošíkovská 466/7,90042 Dunajská Lužná",Senec,Senec,00400009,MK-4653/2011/9.1,04.05.2011,545333 Obecný úrad Dunajská Lužná,9.1,0,0
2011,"A.R.S. Centrum, s.r.o.","Námestie SNP 23,811 01 Bratislava - Staré Mesto",Bratislava I,Bratislava I,35843934,MK-1930/2011/4.2.2,13.06.2011,OTOKAR KLEIN A JEHO HOSTIA 7.ročník galakoncertu,4.2.2,20000,2500
2011,A4 - Asociácia združení pre súčasnú kultúru,"Námestie SNP 12,811 06 Bratislava - Staré Mesto",Bratislava I,Bratislava I,30853435,MK-1843/2011/4.4.1,,A4 – nultý priestor (centrum súčasnej kultúry),4.4.1,150000,0
2011,A4 - asociácia združení pre súčasnú kultúru,"Námestie SNP 12,811 06 Bratislava - Staré Mesto",Bratislava I,Bratislava I,30853435,MK-3670/2011/4.4.1,09.06.2011,A4 – nultý priestor (centrum súčasnej kultúry),4.4.1,150000,73000
2011,AB ART press s.r.o.,"Lichardova 51,976 13 Slovenská Ľupča",Banská Bystrica,Banská Bystrica,45470847,MK-3380/2011/1.3,,Banská Štiavnica a kraj pod Sitnom,1.3,11720,0
2011,"AB ART press, s.r.o.","Lichardova 51,976 13 Slovenská Ľupča",Banská Bystrica,Banská Bystrica,45470847,MK-4926/2011/8.4,28.6.2011,"Banská Štiavnica - Ako sme tu žili, 2.zväzok",8.4,9260,5000
2011,"ABBY ART, s.r.o.","Gemerská 2,821 08 Bratislava - Ružinov",Bratislava II,Bratislava II,35789085,MK-800/2011/7.1,27.6.2011,Oskar bez bariér za rok 2010,7.1,33193,7000
2011,Academia Istropolitana Nova,"Prostredná 47/a,900 21 Svätý Jur",Pezinok,Pezinok,31755976,MK-2049/2011/1.3,,Manažment svetového dedičstva na Slovensku - aktuálny stav a potreby. Prieskum a pracovný seminár,1.3,12460,0
2011,Academia Slovaca,"Haanova 19,851 04 Bratislava - Petržalka",Bratislava V,Bratislava V,42130778,MK-4451/2011/8.4,,Krása v kroji ukrytá,8.4,12000,0
2011,AD UNA CORDA,"SNP 17,902 01 Pezinok",Pezinok,Pezinok,35603976,MK-1880/2011/4.2.2,27.06.2011,"CESTY K SEBE, X. ročník benefičného koncertu pre deti s psychickými poruchami",4.2.2,2200,1000
2011,AD UNA CORDA,"SNP 17,902 01 Pezinok",Pezinok,Pezinok,35603976,MK-1882/2011/5.1,10.6.2011,Grieg International Choir Festival,5.1,15500,7000
2011,AD UNA CORDA,"SNP 17,902 01 Pezinok",Pezinok,Pezinok,35603976,MK-1881/2011/4.2.2,27.06.2011,Pax Christi Slovakia VI. - prezentácia chrámovej hudby,4.2.2,1225,1000
2011,Afinita,"Jiskrova 6,040 01 Košice - Staré Mesto",Košice I,Košice I,42108977,MK-1458/2011/7.1,,Ponorení do tmy...,7.1,32670,0
2011,"AGEM COMPUTERS, spol. s r. o.","Panónska 42,851 01 Bratislava - Petržalka",Bratislava V,Bratislava V,35692715,MK-2064/2011/1.1,,"Reštaurovanie nástennej výzdoby v objekte kaštieľa v Tomášove, ÚZPF 549/1",1.1,53656,0
2011,"Agentúra DUNA, s.r.o.","Pod Párovcami 7271/165,92101 Piešťany",Piešťany,Piešťany,36253324,MK-7203/2011/9.2,30.09.2011,"Agentúra DUNA, s.r.o.",9.2,0,0
2011,AGENTÚRA G-ART s.r.o.,"Bajzova 2418/19 Žilina,01001 Žilina",Žilina,Žilina,44369522,MK-6794/2011/9.2,15.06.2011,AGENTÚRA G-ART s.r.o.,9.2,0,15417
2011,"AGENTÚRA MCP, s.r.o","Piešťanská 2992/11,010 08 Žilina",Žilina,Žilina,36695220,MK-215/2011/5.1,,Novoročný koncert Brusel 2011,5.1,16900,0
2011,"Agentúra MCP, s.r.o","Piešťanská 2992/11,010 08 Žilina",Žilina,Žilina,36695220,MK-6369/2011/5.2,25.7.2011,Novoročný koncert Brusel 2011,5.2,16900,10000
2011,"Agentúra RND, s.r.o.","Škultétyho 5,831 04 Bratislava - Nové Mesto",Bratislava III,Bratislava III,35717076,MK-344/2011/4.1.1,22.06.2011,LEN TAK PRIŠLI,4.1.1,33857,5000
2011,"Agentúra RND, s.r.o.","Škultétyho 5,831 04 Bratislava - Nové Mesto",Bratislava III,Bratislava III,35717076,MK-7000/2011/5.1,22.7.2011,Slovenské divadlo v Prahe - reprezentačné predstavenia Radošinského naivného divadla,5.1,1250,1250
2011,AGRO-SEMEG S s.r.o.,"Horné Semerovce č.152,935 84 Horné Semerovce",Levice,Levice,34123318,MK-7216/2011/1.3,,"Horné Semerovce-areál Kaštieľa s hospodárskými budovami a priľahlým parkom-zameranie kaštieľa,architektonická štúdia a projekt záchrannej etapy a strechy kaštieľa",1.3,17575,0
2011,akad. mal. Andrej Smolák - GALÉRIA ANDREJ SMOLÁK,"Ružová dolina 11,821 09 Bratislava - Ružinov",Bratislava II,Bratislava II,32382685,MK-154/2011/4.3.2,27.05.2011,Medzinárodný výtvarný festival Snina 2011,4.3.2,9810,3500
2011,akad. mal. Eva Mitzová,"L. Svobodu 28 ,969 01 Banská Štiavnica",Banská Štiavnica,Banská Štiavnica,"",MK-4380/2011/1.2,,"Banská Štiavnica, ul. Dr. Imricha Tótha 4 -5, Banícka nemocnica - hradbový múr,č. UZPF 10787/2, havarijný stav - záchrana",1.2,108948,0
2011,akad. mal. Viktor Hulík - ART Lines,"Istrijská 80,841 07 Bratislava - Devínska Nová Ves",Bratislava IV,Bratislava IV,34299416,MK-742/2011/4.3.2,27.05.2011,Medzinárodná výstava SOCHA a OBJEKT XVI.,4.3.2,60000,32000
2011,akad. mal. Viktor Hulík - ART Lines,"Istrijská 80,841 07 Bratislava - Devínska Nová Ves",Bratislava IV,Bratislava IV,34299416,MK-741/2011/4.3.2,27.05.2011,134 + 1560/33 = 15; 15 rokov Galérie Z,4.3.2,3000,2000
2011,akad. soch. Ivan Škandík,"Ľudovíta Štúra 679/7,967 01 Kremnica",Žiar nad Hronom,Žiar nad Hronom,"",MK-3848/2011/1.1,,"Obnova bývalého meštianskeho domu st.č.200 v Kremnici, Ľ. Štúra 679/7, 967 01 Kremnica, ÚZPF SR č.: 3380",1.1,120318,0
2011,Akadémia Umení,"J. Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-1240/2011/5.1,,Aviamúsica Barcelona. Prezentácia súčasnej slovenskej hudobnej tvorby v Španielsku.,5.1,4275,0
2011,Akadémia umení v Banskej Bystrici,"J. Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-1267/2011/4.2.3,22.06.2011,Stretnutie nad zborovou partitúrou,4.2.3,4858,1400
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2157/2011/4.5.4,,Josef Vinař : Hercova tvár II.,4.5.4,8075,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2445/2011/4.1.1,,Margita a Besná,4.1.1,4750,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-6361/2011/4.1.1,,"Počuješ mama,...",4.1.1,5600,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2158/2011/4.1.1,,Ženský zákon,4.1.1,7030,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2156/2011/4.1.4,06.06.2011,Polarity herectva 2011,4.1.4,13100,5000
2011,Akadémia umení v Banskej Bystrici,"J. Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-1268/2011/4.2.2,,Nová hudba v Banskej Bystrici,4.2.2,1377,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2567/2011/4.1.5,24.06.2011,VIII.banskobystrická medzinárodná teatrologická konferencia v cykle Dnes a tu - Tvorba a kritika - sloboda a zodpovednosť,4.1.5,29160,8000
2011,Akadémia umení v Banskej Bystrici,"J. Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-500/2011/4.2.3,,"Canto, canti, cantiamo Vokálne interpretačné kurzy Gabriely Beňačkovej",4.2.3,2470,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-1923/2011/5.1,,Študenti akadémie umení na medzinárodných festivaloch,5.1,5283,0
2011,Akadémia umení v Banskej Bystrici,"Kollárova 22,974 00 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2153/2011/4.4.1,14.06.2011,ARTORIUM 2011,4.4.1,27000,13000
2011,Akadémia umení v Banskej Bystrici,"J.Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-1534/2011/4.2.2,24.06.2011,FORUM PER TASTI,4.2.2,3600,1700
2011,Akadémia umení v Banskej Bystrici,"J. Kollára 22,974 01 Banská Bystrica",Banská Bystrica,Banská Bystrica,31094970,MK-2934/2011/4.5.4,,Od praveku k renesancii. Hudobná kultúra na Slovensku From Prehistory to the Renaissancen Musical culture in Slovakia,4.5.4,4275,0
